;name;paper
0;ABG Sundal Collier Holding;ASC
1;AF Gruppen;AFG
2;AKVA Group;AKVA
3;Akastor;AKA
4;Aker;AKER
5;Aker BP;AKERBP
6;Aker Solutions;AKSO
7;American Shipping Company;AMSC
8;Apptix;APP
9;Aqualis;AQUA
10;Archer;ARCHER
11;Arcus;ARCUS
12;Arendals Fossekompani;AFK
13;Asetek;ASETEK
14;Atea;ATEA
15;Atlantic Petroleum;ATLA-NOK
16;Aurskog Sparebank;AURG
17;Austevoll Seafood;AUSS
18;Avance Gas Holding;AVANCE
19;Avocet Mining PLC;AVM
20;Awilco Drilling;AWDR
21;Axactor;AXA
22;B2Holding;B2H
23;BW LPG;BWLPG
24;BW Offshore Limited;BWO
25;Bakkafrost;BAKKA
26;Belships;BEL
27;BerGenBio;BGBIO
28;Bergen Group;BERGEN
29;Biotec Pharmacon;BIOTEC
30;Bonheur;BON
31;Borgestad;BOR
32;Borr Drilling;BDRILL
33;Borregaard;BRG
34;Bouvet;BOUVET
35;Byggma;BMA
36;ContextVision;COV
37;Crayon Group Holding;CRAYON
38;Cxense;CXENSE
39;DNB;DNB
40;DNB OBX;OBXEDNB
41;DNO;DNO
42;DOF;DOF
43;Data Respons;DAT
44;EMAS Offshore;EMAS
45;EVRY;EVRY
46;Eidesvik Offshore;EIOF
47;Electromagnetic Geoservices;EMGS
48;Element;ELE
49;Elkem;ELK
50;Entra;ENTRA
51;Equinor;EQNR
52;Europris;EPR
53;FLEX LNG;FLNG
54;Fjord1;FJORD
55;Fjordkraft Holding;FKRAFT
56;Frontline;FRO
57;Funcom;FUNCOM
58;GC Rieber Shipping;RISH
59;Gaming Innovation Group;GIG
60;Gjensidige Forsikring;GJF
61;Golden Ocean Group;GOGL
62;Goodtech;GOD
63;Grieg Seafood;GSF
64;Gyldendal;GYL
65;Havila Shipping;HAVI
66;Havyard Group;HYARD
67;Helgeland Sparebank;HELG
68;Hexagon Composites;HEX
69;Hiddn Solutions;HIDDN
70;Höegh LNG Holdings;HLNG
71;Høland og Setskog Sparebank;HSPG
72;IDEX;IDEX
73;Incus Investor;INC
74;Indre Sogn Sparebank;ISSG
75;Infront;INFRNT
76;Insr Insurance Group;INSR
77;InterOil Exploration and Production;IOX
78;Itera;ITE
79;Jinhui Shipping and Transportation;JIN
80;Jæren Sparebank;JAEREN
81;Kid;KID
82;Kitron;KIT
83;Komplett Bank;KOMP
84;Kongsberg Automotive;KOA
85;Kongsberg Gruppen;KOG
86;Kværner;KVAER
87;Lerøy Seafood Group;LSG
88;MPC Container Ships;MPCC
89;Magnora;MGN
90;Magseis;MSEIS
91;Marine Harvest;MHG
92;Medistim;MEDI
93;Melhus Sparebank;MELG
94;Multiconsult;MULTI
95;NEL;NEL
96;NEXT Biometrics Group;NEXT
97;NRC Group;NRC
98;NTS;NTS
99;Napatech;NAPA
100;Navamedic;NAVA
101;NextGenTel Holding;NGT
102;Nordic Nanovector;NANO
103;Nordic Semiconductor;NOD
104;Norsk Hydro;NHY
105;Northern Drilling;NODL
106;Norway Royal Salmon;NRS
107;Norwegian Air Shuttle;NAS
108;Norwegian Energy Company;NOR
109;Norwegian Finans Holding;NOFI
110;Norwegian Property;NPRO
111;Ocean Yield;OCY
112;Oceanteam;OTS
113;Odfjell Drilling;ODL
114;Odfjell ser. A;ODF
115;Odfjell ser. B;ODFB
116;Olav Thon Eiendomsselskap;OLT
117;Orkla;ORK
118;Otello Corporation;OTELLO
119;PCI Biotech Holding;PCIB
120;Panoro Energy;PEN
121;Pareto Bank;PARB
122;Petroleum Geo-Services;PGS
123;Petrolia;PSE
124;Photocure;PHO
125;Polarcus;PLCS
126;Polaris Media;POL
127;Prosafe;PRS
128;Protector Forsikring;PROTCT
129;Q-Free;QFR
130;Questerre Energy Corporation;QEC
131;RAK Petroleum;RAKP
132;REC Silicon;REC
133;Reach Subsea;REACH
134;S.D. Standard Drilling;SDSD
135;SAS AB;SAS-NOK
136;SalMar;SALM
137;Salmones Camanchaca;SALMON
138;Sandnes Sparebank;SADG
139;Sbanken;SBANK
140;Scatec Solar;SSO
141;Schibsted ser. A;SCHA
142;Schibsted ser. B;SCHB
143;SeaBird Exploration;SBX
144;Seadrill;SDRL
145;Self Storage Group;SSG
146;Selvaag Bolig;SBO
147;Shelf Drilling;SHLF
